year,cal_year,aggregate_basket_factor,basket_usd_per_month,Food (processed)__usd_per_month,Food (fresh)__usd_per_month,Energy & utilities__usd_per_month,Transport__usd_per_month,Healthcare__usd_per_month,Education__usd_per_month,Services (hospitality)__usd_per_month,Apparel & manufactured__usd_per_month,Digital/electronics__usd_per_month,Housing — STRUCTURE__usd_per_month
0,2026,1.0,980.0,220.0,74.0,98.0,98.0,61.0,37.0,74.0,86.0,49.0,184.0
1,2027,0.982,962.0,218.0,74.0,93.0,96.0,62.0,36.0,75.0,83.0,44.0,181.0
2,2028,0.965,946.0,216.0,75.0,88.0,93.0,62.0,36.0,76.0,81.0,40.0,178.0
3,2029,0.9489,930.0,214.0,76.0,84.0,91.0,62.0,36.0,78.0,78.0,36.0,176.0
4,2030,0.9337,915.0,212.0,76.0,80.0,89.0,62.0,35.0,80.0,76.0,32.0,173.0
5,2031,0.9193,901.0,210.0,77.0,76.0,86.0,63.0,35.0,81.0,74.0,29.0,170.0
6,2032,0.9057,888.0,208.0,78.0,72.0,84.0,63.0,35.0,83.0,71.0,26.0,168.0
7,2033,0.8928,875.0,206.0,79.0,68.0,82.0,63.0,34.0,84.0,69.0,23.0,165.0
8,2034,0.8806,863.0,203.0,80.0,65.0,80.0,64.0,34.0,86.0,67.0,21.0,163.0
9,2035,0.869,852.0,201.0,80.0,62.0,78.0,64.0,34.0,88.0,65.0,19.0,160.0
10,2036,0.858,841.0,199.0,81.0,59.0,76.0,64.0,33.0,90.0,63.0,17.0,158.0
11,2037,0.8476,831.0,197.0,82.0,56.0,74.0,65.0,33.0,91.0,61.0,15.0,156.0
12,2038,0.8377,821.0,195.0,83.0,53.0,72.0,65.0,33.0,93.0,59.0,14.0,153.0
13,2039,0.8284,812.0,193.0,84.0,50.0,71.0,65.0,32.0,95.0,58.0,12.0,151.0
14,2040,0.8195,803.0,192.0,84.0,48.0,69.0,66.0,32.0,97.0,56.0,11.0,149.0
15,2041,0.811,795.0,190.0,85.0,45.0,67.0,66.0,32.0,99.0,54.0,10.0,146.0
16,2042,0.803,787.0,188.0,86.0,43.0,65.0,66.0,31.0,101.0,53.0,9.0,144.0
17,2043,0.7955,780.0,186.0,87.0,41.0,64.0,67.0,31.0,103.0,51.0,8.0,142.0
18,2044,0.7883,773.0,184.0,88.0,39.0,62.0,67.0,31.0,105.0,50.0,7.0,140.0
19,2045,0.7815,766.0,182.0,89.0,37.0,61.0,67.0,30.0,107.0,48.0,7.0,138.0
20,2046,0.7751,760.0,180.0,90.0,35.0,59.0,68.0,30.0,109.0,47.0,6.0,136.0
21,2047,0.769,754.0,179.0,91.0,33.0,58.0,68.0,30.0,111.0,45.0,5.0,134.0
22,2048,0.7633,748.0,177.0,91.0,32.0,56.0,68.0,29.0,114.0,44.0,5.0,132.0
23,2049,0.7579,743.0,175.0,92.0,30.0,55.0,69.0,29.0,116.0,43.0,4.0,130.0
24,2050,0.7528,738.0,173.0,93.0,29.0,53.0,69.0,29.0,118.0,41.0,4.0,128.0
25,2051,0.748,733.0,172.0,94.0,27.0,52.0,69.0,29.0,121.0,40.0,4.0,126.0
