sector,n_named_firms,sum_employees,sum_firm_profit_usd,sum_rev_to_maryfontaine_usd,avg_profit_per_emp_usd,sum_value_added_usd,sum_mpc_usd
pharma,5,378000,129090000000,57000000,341508.0,39680000.0,109200707.0
financial,8,879850,247699000000,65000000,281524.0,37640000.0,101587955.0
big_tech,6,2204000,751300000000,52000000,340880.0,25760000.0,73087964.0
utility,6,506000,127430000000,74000000,251838.0,35150000.0,69396376.0
energy,3,125000,56420000000,33000000,451360.0,9020000.0,31812854.0
healthcare_provider,3,382000,37390000000,75000000,97880.0,37500000.0,27428240.0
big_retail,9,4761000,121730000000,385000000,25568.0,97400000.0,21966409.0
healthcare_insurance,3,596000,95520000000,65000000,160268.0,16700000.0,21224187.0
insurance,4,193000,35650000000,70000000,184715.0,16000000.0,21161717.0
auto_mfg,5,847000,77900000000,90000000,91972.0,18400000.0,13680933.0
ai_software,7,13330,9472000000,2100000,710578.0,1177500.0,13376392.0
software,4,283000,72140000000,3000000,254912.0,2457000.0,5262942.0
media,3,247000,56320000000,5000000,228016.0,1855000.0,4575148.0
automated_mfg,4,558000,74100000000,12000000,132796.0,3170000.0,3738049.0
logistics,6,1104400,73913000000,20000000,66926.0,4770000.0,3191827.0
restaurant_chain,6,1125000,25774000000,28100000,22910.0,11565000.0,2490445.0
hospitality,4,576912,22428264000,4000000,38876.0,1480000.0,1682278.0
ed_online,2,4500,910000000,1000000,202222.0,575000.0,1042468.0
gov_services,2,83000,6655000000,8500000,80181.0,1660000.0,863648.0
construction_national,2,23000,2180000000,4000000,94783.0,1040000.0,769943.0
traditional_mfg,4,196600,22136200000,3500000,112595.0,840000.0,603226.0
construction_local,2,2580,141000000,5800000,54651.0,1340000.0,566134.0
telecom_equip,2,136000,51850000000,200000,381250.0,120000.0,380442.0
agriculture,2,202000,17970000000,1500000,88960.0,110000.0,75745.0
agriculture_local,1,2200,99000000,500000,45000.0,60000.0,21084.0
defence,2,307000,36210000000,100000,117948.0,14000.0,12884.0
