name,sector,employees,annual_profit_per_emp_usd,annual_profit_total_usd,annual_rev_to_maryfontaine_usd,gross_margin_pct,value_added_usd
Cargill,agriculture,160000,90000,14400000000,1000000,7,70000.0
ADM (Archer Daniels Midland),agriculture,42000,85000,3570000000,500000,8,40000.0
OhioFarmersUnion,agriculture_local,2200,45000,99000000,500000,12,60000.0
OpenAI,ai_software,1700,1800000,3060000000,1000000,50,500000.0
Anthropic,ai_software,700,1500000,1050000000,600000,50,300000.0
CursorAI,ai_software,50,1200000,60000000,300000,75,225000.0
Palantir,ai_software,4000,450000,1800000000,50000,80,40000.0
DataBricks,ai_software,6500,500000,3250000000,50000,75,37500.0
AutomatedSaaSCo,ai_software,80,900000,72000000,50000,75,37500.0
AIInfraCloud,ai_software,300,600000,180000000,50000,75,37500.0
Honda Motor Co,auto_mfg,210000,110000,23100000000,25000000,22,5500000.0
Ford,auto_mfg,176000,80000,14080000000,20000000,18,3600000.0
General Motors,auto_mfg,163000,90000,14670000000,20000000,19,3800000.0
Toyota North America,auto_mfg,48000,100000,4800000000,15000000,22,3300000.0
Stellantis,auto_mfg,250000,85000,21250000000,10000000,22,2200000.0
Tesla,automated_mfg,140000,150000,21000000000,8000000,25,2000000.0
Siemens Industrial,automated_mfg,320000,130000,41600000000,2000000,35,700000.0
FoxconnUS,automated_mfg,90000,110000,9900000000,1000000,7,70000.0
RoboticsCorp,automated_mfg,8000,200000,1600000000,1000000,40,400000.0
Walmart,big_retail,2100000,18000,37800000000,100000000,25,25000000.0
Kroger,big_retail,420000,20000,8400000000,70000000,22,15400000.0
Target,big_retail,440000,25000,11000000000,50000000,28,14000000.0
HomeDepot,big_retail,465000,50000,23250000000,50000000,33,16500000.0
Lowe's,big_retail,300000,40000,12000000000,35000000,33,11550000.0
Costco,big_retail,316000,45000,14220000000,25000000,13,3250000.0
Best Buy,big_retail,90000,28000,2520000000,20000000,23,4600000.0
CVS Pharmacy,big_retail,300000,22000,6600000000,20000000,19,3800000.0
