name,sector,employees,profit_per_emp_usd,annual_rev_to_maryfontaine_usd,gross_margin_pct,value_added_usd,mpc_rate_pct,annual_mpc_usd
NVIDIA,big_tech,30000,2500000,500000,75,375000.0,1952.19,7320705.0
OpenAI,ai_software,1700,1800000,1000000,50,500000.0,1405.58,7027877.0
Anthropic,ai_software,700,1500000,600000,50,300000.0,1171.31,3513938.0
CursorAI,ai_software,50,1200000,300000,75,225000.0,937.05,2108363.0
AutomatedSaaSCo,ai_software,80,900000,50000,75,37500.0,702.79,263545.0
Visa,financial,28000,900000,5000000,80,4000000.0,702.79,28111506.0
Mastercard,financial,33000,800000,3000000,78,2340000.0,624.7,14617983.0
Google,big_tech,182000,700000,1000000,56,560000.0,546.61,3061031.0
Apple,big_tech,164000,650000,12000000,46,5520000.0,507.57,28017801.0
Meta,big_tech,67000,650000,500000,81,405000.0,507.57,2055654.0
AIInfraCloud,ai_software,300,600000,50000,75,37500.0,468.53,175697.0
Microsoft,big_tech,221000,550000,3000000,70,2100000.0,429.48,9019108.0
Qualcomm,telecom_equip,51000,550000,100000,56,56000.0,429.48,240510.0
DataBricks,ai_software,6500,500000,50000,75,37500.0,390.44,146414.0
Eli Lilly,pharma,43000,480000,7000000,79,5530000.0,374.82,20727550.0
Chevron,energy,45000,480000,10000000,35,3500000.0,374.82,13118703.0
ExxonMobil,energy,62000,460000,12000000,35,4200000.0,359.2,15086508.0
Palantir,ai_software,4000,450000,50000,80,40000.0,351.39,140558.0
AbbVie,pharma,50000,400000,5000000,70,3500000.0,312.35,10932252.0
Netflix,media,13000,400000,2500000,42,1050000.0,312.35,3279676.0
Pfizer,pharma,83000,350000,20000000,65,13000000.0,273.31,35529820.0
Goldman Sachs,financial,45000,350000,4000000,80,3200000.0,273.31,8745802.0
Marathon Petroleum,energy,18000,350000,11000000,12,1320000.0,273.31,3607643.0
Merck,pharma,71000,320000,15000000,73,10950000.0,249.88,27361866.0
Adobe,software,30000,320000,1200000,88,1056000.0,249.88,2638733.0
Airbnb,hospitality,6900,290000,800000,80,640000.0,226.45,1449304.0
Johnson & Johnson,pharma,131000,280000,10000000,67,6700000.0,218.65,14649218.0
JPMorgan Chase,financial,300000,280000,20000000,50,10000000.0,218.65,21864505.0
Columbia Gas,utility,9000,280000,14000000,35,4900000.0,218.65,10713607.0
Verizon,utility,117000,280000,10000000,60,6000000.0,218.65,13118703.0
Progressive,insurance,57000,280000,15000000,18,2700000.0,218.65,5903416.0
Coursera,ed_online,1000,280000,500000,60,300000.0,218.65,655935.0
Cisco,telecom_equip,85000,280000,100000,64,64000.0,218.65,139933.0
Oracle,software,163000,260000,300000,72,216000.0,203.03,438539.0
