year,price_index,employment_pct,displacement_pct,jobs_remaining,jobs_displaced,bridge_gap_pct
2026,1.0,0.9801,0.0199,1470,30,0.0199
2027,0.975,0.9644,0.0356,1447,53,0.0106
2028,0.9506,0.9376,0.0624,1406,94,0.013
2029,0.9269,0.8936,0.1064,1340,160,0.0332
2030,0.9037,0.8264,0.1736,1240,260,0.0773
2031,0.8811,0.7342,0.2658,1101,399,0.1469
2032,0.8591,0.625,0.375,938,562,0.2341
2033,0.8376,0.5158,0.4842,774,726,0.3218
2034,0.8167,0.4236,0.5764,635,865,0.393
2035,0.7962,0.3564,0.6436,535,965,0.4398
2036,0.7763,0.3124,0.6876,469,1031,0.464
2037,0.7569,0.2856,0.7144,428,1072,0.4714
2038,0.738,0.2699,0.7301,405,1095,0.4681
2039,0.7195,0.2611,0.7389,392,1108,0.4585
2040,0.7016,0.2561,0.7439,384,1116,0.4454
2041,0.684,0.2534,0.7466,380,1120,0.4306
2042,0.6669,0.2519,0.7481,378,1122,0.4151
2043,0.6502,0.251,0.749,377,1123,0.3992
2044,0.634,0.2506,0.7494,376,1124,0.3834
2045,0.6181,0.2503,0.7497,375,1125,0.3678
2046,0.6027,0.2502,0.7498,375,1125,0.3525
