month,ubi_minted,citizen_spend,wages_paid,mcc_bills,s_to_v_citizens,s_to_v_companies,cashouts_v,cashouts_usd,export_usd_in,export_s_minted_via_fisc,lat_usd_in,mcc_consumed,dividends_paid
1,95000.0,80750.0,36337.5,1816.88,2933.12,3452.06,17.6,17.6,25000.0,25000.0,750.0,1453.5,172.6
2,95000.0,128119.97,79688.27,3984.41,5755.48,7570.39,53.06,53.06,25000.0,25000.0,750.0,3478.23,542.49
3,95000.0,173701.06,118732.21,5936.61,8337.77,11279.56,106.02,106.02,25000.0,25000.0,750.0,5444.93,1079.35
4,95000.0,215405.02,154190.28,7709.51,10687.17,14648.08,175.99,175.99,25000.0,25000.0,750.0,7256.6,1757.78
5,95000.0,253347.82,186422.86,9321.14,12823.3,17710.17,262.42,262.42,25000.0,25000.0,750.0,8908.23,2555.4
6,95000.0,287846.36,215726.64,10786.33,14765.38,20494.03,364.77,364.77,25000.0,25000.0,750.0,10410.71,3452.33
7,95000.0,319210.96,242368.07,12118.4,16531.03,23024.97,482.48,482.48,25000.0,25000.0,750.0,11776.87,4430.96
8,95000.0,347726.06,266589.08,13329.45,18136.26,25325.96,614.99,614.99,25000.0,25000.0,750.0,13018.94,5475.71
9,95000.0,373650.53,288609.57,14430.48,19595.65,27417.91,761.73,761.73,25000.0,25000.0,750.0,14148.17,6572.82
10,95000.0,397219.71,308629.46,15431.47,20922.45,29319.8,922.13,922.13,25000.0,25000.0,750.0,15174.81,7710.17
11,95000.0,418647.59,326830.51,16341.53,22128.71,31048.9,1095.63,1095.63,25000.0,25000.0,750.0,16108.18,8877.11
12,95000.0,438128.71,343377.96,17168.9,23225.38,32620.91,1281.67,1281.67,25000.0,25000.0,750.0,16956.75,10064.3
13,95000.0,455839.94,358422.05,17921.1,24222.42,34050.09,1479.7,1479.7,25000.0,25000.0,750.0,17728.23,11263.59
14,95000.0,471942.07,372099.36,18604.97,25128.87,35349.44,1689.18,1689.18,25000.0,25000.0,750.0,18429.62,12467.88
15,95000.0,486581.3,384534.06,19226.7,25952.97,36530.74,1909.57,1909.57,25000.0,25000.0,750.0,19067.29,13671.02
16,95000.0,499890.53,395839.05,19791.95,26702.2,37604.71,2140.35,2140.35,25000.0,25000.0,750.0,19647.02,14867.71
17,95000.0,511990.59,406116.96,20305.85,27383.37,38581.11,2381.01,2381.01,25000.0,25000.0,750.0,20174.08,16053.38
18,95000.0,522991.34,415461.11,20773.06,28002.64,39468.81,2631.06,2631.06,25000.0,25000.0,750.0,20653.26,17224.15
19,95000.0,532992.66,423956.32,21197.82,28565.66,40275.85,2890.02,2890.02,25000.0,25000.0,750.0,21088.9,18376.73
20,95000.0,542085.34,431679.73,21583.99,29077.52,41009.57,3157.4,3157.4,25000.0,25000.0,750.0,21484.97,19508.38
21,95000.0,550351.93,438701.45,21935.07,29542.88,41676.64,3432.76,3432.76,25000.0,25000.0,750.0,21845.05,20616.79
22,95000.0,557867.49,445085.24,22254.26,29965.96,42283.1,3715.66,3715.66,25000.0,25000.0,750.0,22172.42,21700.11
23,95000.0,564700.25,450889.06,22544.45,30350.6,42834.46,4005.67,4005.67,25000.0,25000.0,750.0,22470.05,22756.82
24,95000.0,570912.24,456165.58,22808.28,30700.3,43335.73,4302.38,4239.01,25000.0,25373.76,750.0,22740.63,23785.77
