month,s_supply,v_supply,usdc_reserve,fisc_rate,reserve_ratio,s_citizens,s_companies,s_mcc,v_citizens,v_companies,velocity
0,0.0,0.0,50000.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
1,100161.31,6367.59,63732.4,1.0,10.0089,55729.38,44068.56,363.38,3088.13,3279.46,0.8062
2,191357.21,19640.4,77429.34,1.0,3.9424,109354.19,81133.47,869.56,9333.04,10307.35,0.6695
3,274294.95,39151.7,91073.31,1.0,2.3262,158417.67,114516.04,1361.23,18644.14,20507.57,0.6333
4,349703.1,64310.96,104647.33,1.0,1.6272,203056.26,144832.69,1814.15,30913.1,33397.86,0.616
5,418261.39,94582.02,118134.91,1.0,1.249,243642.78,172391.55,2227.06,46029.39,48552.63,0.6057
6,480591.26,129476.67,131520.14,1.0,1.0158,280542.31,197446.28,2602.68,63882.34,65594.33,0.5989
7,537258.4,168550.18,144787.66,1.0,0.859,314089.49,220224.7,2944.22,84361.85,84188.33,0.5941
8,588777.25,211397.41,157922.67,1.0,0.747,344588.85,240933.66,3254.73,107358.83,104038.58,0.5906
9,635615.52,257649.24,170910.94,1.0,0.6633,372317.3,259761.18,3537.04,132765.58,124883.66,0.5879
10,678198.46,306969.36,183738.82,1.0,0.5986,397526.57,276878.19,3793.7,160476.07,146493.29,0.5857
11,716912.67,359051.34,196393.19,1.0,0.547,420445.54,292440.08,4027.05,190386.26,168665.08,0.584
12,752109.62,413615.96,208861.52,1.0,0.505,441282.28,306588.16,4239.19,222394.28,191221.68,0.5825
13,784108.88,470408.78,221131.82,1.0,0.4701,460225.97,319450.85,4432.06,256400.59,214008.19,0.5813
14,813200.94,529197.91,233192.64,1.0,0.4407,477448.59,331144.95,4607.41,292308.16,236889.75,0.5804
15,839649.95,589772.05,245033.07,1.0,0.4155,493106.5,341776.62,4766.82,330022.59,259749.46,0.5795
16,863696.01,651938.62,256642.72,1.0,0.3937,507341.87,351442.39,4911.75,369452.16,282486.46,0.5788
17,885557.46,715522.08,268011.71,1.0,0.3746,520283.94,360230.0,5043.52,410507.89,305014.19,0.5782
18,905432.75,780362.47,279130.65,1.0,0.3577,532050.19,368219.25,5163.32,453103.62,327258.85,0.5776
19,923502.34,846313.96,289990.63,1.0,0.3427,542747.46,375482.65,5272.23,497155.99,349157.96,0.5771
20,939930.27,913243.65,300583.23,1.0,0.3291,552472.86,382086.17,5371.24,542584.49,370659.16,0.5767
21,954865.71,981030.4,310900.47,1.0,0.3169,561314.7,388089.74,5461.26,589311.39,391719.01,0.5764
22,968444.23,1049563.79,320934.8,1.0,0.3058,569353.24,393547.88,5543.11,637261.79,412302.0,0.576
23,980789.12,1118743.18,330679.13,0.9853,0.2956,576661.46,398510.14,5617.51,686363.54,432379.64,0.5758
24,992206.81,1188476.83,340190.12,0.9541,0.2862,583305.72,403215.93,5685.16,736547.23,451929.6,0.5754
