month,s_supply,v_supply,usdc_reserve,fisc_rate,reserve_ratio,s_citizens,s_companies,s_mcc,v_citizens,v_companies,velocity
0,0.0,0.0,50000.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
1,127161.31,6376.39,91591.2,1.0,14.3641,55729.38,71068.56,363.38,3096.93,3279.46,0.635
2,242859.71,21631.17,133162.62,1.0,6.1561,122179.19,119675.97,1004.56,10105.45,11525.73,0.5275
3,348066.04,44845.43,174703.21,1.0,3.8957,184248.83,162187.21,1630.0,20998.45,23846.98,0.5304
4,443718.2,75271.99,216202.19,1.0,2.8723,240853.27,200659.87,2205.06,35658.82,39613.17,0.5349
5,530681.02,112240.23,257649.05,1.0,2.2955,292333.36,235618.71,2728.95,53959.08,58281.16,0.5379
6,609743.29,155140.81,299033.63,1.0,1.9275,339138.32,267399.53,3205.43,75770.43,79370.38,0.54
7,681622.65,203419.22,340346.05,1.0,1.6731,381691.17,296292.81,3638.66,100964.23,102454.99,0.5414
8,746971.65,256570.78,381576.78,1.0,1.4872,420378.04,322561.07,4032.54,129412.65,127158.13,0.5424
9,806383.59,314136.14,422716.61,1.0,1.3456,455550.15,346442.8,4390.63,160989.17,153146.97,0.5433
10,860397.85,375697.15,463756.67,1.0,1.2344,487526.81,368154.84,4716.2,195568.97,180128.19,0.5439
11,909504.83,440873.19,504688.39,1.0,1.1447,516598.34,387894.31,5012.18,233029.23,207843.95,0.5444
12,954150.35,509317.75,545503.56,1.0,1.071,543028.67,405840.41,5281.27,273249.5,236068.24,0.5448
13,994739.76,580715.4,586194.28,1.0,1.0094,567057.77,422156.08,5525.92,316111.87,264603.53,0.5452
14,1031641.55,654778.95,626752.96,1.0,0.9572,588903.77,436989.44,5748.33,361501.16,293277.79,0.5455
15,1065190.75,731246.94,667172.33,1.0,0.9124,608765.03,450475.17,5950.55,409305.1,321941.84,0.5457
16,1095691.94,809881.31,707445.45,1.0,0.8735,626821.87,462735.69,6134.39,459414.46,350466.85,0.546
17,1123422.06,890465.29,747565.64,1.0,0.8395,643238.21,473882.33,6301.52,511723.1,378742.19,0.5461
18,1148632.84,972801.51,787526.55,1.0,0.8095,658163.09,484016.27,6453.48,566128.04,406673.47,0.5463
19,1171553.19,1056710.21,827322.1,1.0,0.7829,671732.03,493229.53,6591.63,622529.52,434180.69,0.5464
20,1192391.18,1142027.73,866946.5,1.0,0.7591,684068.2,501605.75,6717.22,680831.03,461196.71,0.5466
21,1211336.0,1228605.0,906394.23,1.0,0.7377,695283.62,509220.98,6831.41,740939.24,487665.75,0.5467
22,1228559.66,1316306.25,945660.02,1.0,0.7184,705480.09,516144.35,6935.22,802764.1,513542.15,0.5468
23,1244218.51,1405007.83,984738.87,1.0,0.7009,714750.2,522438.72,7029.6,866218.71,538789.13,0.5469
24,1258454.74,1494597.13,1023626.03,1.0,0.6849,723178.1,528161.23,7115.41,931219.33,563377.8,0.5469
