month,ubi_minted,citizen_spend,wages_paid,mcc_bills,s_to_v_citizens,s_to_v_companies,cashouts_v,cashouts_usd,export_usd_in,export_s_minted_via_fisc,lat_usd_in,mcc_consumed,dividends_paid
1,95000.0,80750.0,36337.5,1816.88,2933.12,3452.06,17.6,17.6,25000.0,25000.0,750.0,1453.5,172.6
2,95000.0,128119.97,85688.27,4284.41,6055.48,8140.39,54.86,54.86,25000.0,25000.0,750.0,3718.23,570.99
3,95000.0,178546.06,129477.46,6473.87,8942.01,12300.36,111.61,111.61,25000.0,25000.0,750.0,5922.74,1157.46
4,95000.0,225163.46,169175.17,8458.76,11571.31,16071.64,187.31,187.31,25000.0,25000.0,750.0,7951.56,1903.17
5,95000.0,267626.69,205254.4,10262.72,13962.27,19499.17,281.38,281.38,25000.0,25000.0,750.0,9800.49,2782.97
6,95000.0,306240.58,238054.52,11902.73,16136.05,22615.18,393.21,393.21,25000.0,25000.0,750.0,11482.28,3774.58
7,95000.0,341347.23,267874.56,13393.73,18112.35,25448.08,522.17,522.17,25000.0,25000.0,750.0,13011.44,4858.26
8,95000.0,373264.48,294985.39,14749.27,19909.1,28023.61,667.64,667.64,25000.0,25000.0,750.0,14401.7,6016.52
9,95000.0,402282.0,319633.15,15981.66,21542.61,30365.15,828.99,828.99,25000.0,25000.0,750.0,15665.67,7233.95
10,95000.0,428663.23,342041.62,17102.08,23027.72,32493.95,1005.59,1005.59,25000.0,25000.0,750.0,16814.8,8496.95
11,95000.0,452647.68,362414.25,18120.71,24377.9,34429.35,1196.8,1196.8,25000.0,25000.0,750.0,17859.53,9793.57
12,95000.0,474453.1,380935.99,19046.8,25605.42,36188.92,1402.02,1402.02,25000.0,25000.0,750.0,18809.35,11113.34
13,95000.0,494277.46,397774.99,19888.75,26721.41,37788.62,1620.61,1620.61,25000.0,25000.0,750.0,19672.87,12447.11
14,95000.0,512300.75,413084.15,20654.21,27736.01,39242.99,1851.99,1851.99,25000.0,25000.0,750.0,20457.94,13786.9
15,95000.0,528686.59,427002.44,21350.12,28658.44,40565.23,2095.55,2095.55,25000.0,25000.0,750.0,21171.69,15125.82
16,95000.0,543583.75,439656.23,21982.81,29497.06,41767.34,2350.71,2350.71,25000.0,25000.0,750.0,21820.59,16457.89
17,95000.0,557127.48,451160.4,22558.02,30259.49,42860.24,2616.91,2616.91,25000.0,25000.0,750.0,22410.53,17778.01
18,95000.0,569440.74,461619.4,23080.97,30952.65,43853.84,2893.59,2893.59,25000.0,25000.0,750.0,22946.88,19081.8
19,95000.0,580635.31,471128.19,23556.41,31582.84,44757.18,3180.22,3180.22,25000.0,25000.0,750.0,23434.5,20365.57
20,95000.0,590812.84,479773.08,23988.65,32155.77,45578.44,3476.27,3476.27,25000.0,25000.0,750.0,23877.82,21626.21
21,95000.0,600065.73,487632.57,24381.63,32676.65,46325.09,3781.23,3781.23,25000.0,25000.0,750.0,24280.87,22861.16
22,95000.0,608477.97,494778.01,24738.9,33150.21,47003.91,4094.61,4094.61,25000.0,25000.0,750.0,24647.29,24068.3
23,95000.0,616125.95,501274.28,25063.71,33580.75,47621.06,4415.93,4415.93,25000.0,25000.0,750.0,24980.43,25245.93
24,95000.0,623079.1,507180.35,25359.02,33972.17,48182.13,4744.75,4744.75,25000.0,25000.0,750.0,25283.3,26392.74
