month,s_supply,v_supply,usdc_reserve,fisc_rate,reserve_ratio,s_citizens,s_companies,s_mcc,v_citizens,v_companies,velocity
0,0.0,0.0,50000.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
1,112161.31,6367.59,75732.4,1.0,11.8934,55729.38,56068.56,363.38,3088.13,3279.46,0.7199
2,214247.21,20508.6,101427.54,1.0,4.9456,115054.19,98263.47,929.56,9659.74,10848.85,0.598
3,307082.1,41639.35,127065.93,1.0,3.0516,169898.18,135703.23,1480.69,19647.6,21991.75,0.5814
4,391487.59,69094.99,152628.62,1.0,2.209,219854.93,169644.77,1987.89,32934.77,36160.22,0.5751
5,468225.67,102275.04,178097.23,1.0,1.7414,265283.04,200492.51,2450.12,49398.62,52876.42,0.5716
6,537992.16,140633.07,203454.03,1.0,1.4467,306584.98,228536.61,2870.57,68916.05,71717.02,0.5692
7,601420.29,183671.33,228681.85,1.0,1.2451,344134.68,254032.75,3252.86,91364.48,92306.85,0.5676
8,659085.87,230936.4,253764.21,1.0,1.0988,378272.94,277212.51,3600.43,116622.47,114313.94,0.5663
9,711512.44,282015.18,278685.22,1.0,0.9882,409309.68,298286.35,3916.42,144570.05,137445.13,0.5654
10,759175.97,336531.27,303429.64,1.0,0.9016,437526.68,317445.59,4203.7,175089.13,161442.13,0.5646
11,802509.18,394141.72,327982.83,1.0,0.8321,463180.12,334864.18,4464.88,208063.81,186077.91,0.564
12,841905.5,454534.04,352330.82,1.0,0.7751,486502.9,350700.27,4702.34,243380.55,211153.49,0.5635
13,877722.6,517423.46,376460.21,1.0,0.7276,507706.77,365097.62,4918.22,280928.45,236495.01,0.5631
14,910285.66,582550.48,400358.22,1.0,0.6873,526984.23,378186.95,5114.48,320599.38,261951.1,0.5628
15,939890.3,649678.6,424012.67,1.0,0.6526,544510.3,390087.09,5292.92,362288.08,287390.52,0.5625
16,966805.32,718592.29,447411.96,1.0,0.6226,560444.09,400906.08,5455.15,405892.32,312699.97,0.5622
17,991275.06,789095.1,470545.05,1.0,0.5963,574930.28,410742.15,5602.63,451312.91,337782.19,0.562
18,1013521.68,861008.0,493401.46,1.0,0.5731,588100.37,419684.59,5736.72,498453.77,362554.24,0.5618
19,1033747.16,934167.8,515971.24,1.0,0.5523,600073.93,427814.6,5858.63,547221.96,386945.84,0.5617
20,1052135.12,1008425.75,538244.97,1.0,0.5337,610959.68,435205.98,5969.46,597527.68,410898.07,0.5615
21,1068852.5,1083646.27,560213.75,1.0,0.517,620856.44,441925.85,6070.22,649284.27,434362.01,0.5614
22,1084051.08,1159705.79,581869.14,1.0,0.5017,629854.06,448035.2,6161.82,702408.17,457297.62,0.5613
23,1097868.85,1236491.66,603203.21,1.0,0.4878,638034.23,453589.51,6245.11,756818.92,479672.74,0.5612
24,1110431.25,1313901.22,624208.46,1.0,0.4751,645471.22,458639.2,6320.82,812439.09,501462.13,0.5611
