month,ubi_minted,citizen_spend,wages_paid,mcc_bills,s_to_v_citizens,s_to_v_companies,cashouts_v,cashouts_usd,export_usd_in,export_s_minted_via_fisc,lat_usd_in,mcc_consumed,dividends_paid
1,95000.0,80750.0,36337.5,1816.88,2933.12,3452.06,73.33,73.33,1500.0,1500.0,15.0,1453.5,172.6
2,95000.0,128119.97,73938.27,3696.91,5467.98,7024.14,212.51,212.51,1500.0,1500.0,15.0,3248.23,515.18
3,95000.0,169057.93,108434.68,5421.73,7758.71,10301.29,414.04,414.04,1500.0,1500.0,15.0,4987.03,1004.49
4,95000.0,206053.19,139829.76,6991.49,9839.87,13283.83,674.8,674.8,1500.0,1500.0,15.0,6590.6,1618.45
5,95000.0,239663.91,168375.98,8418.8,11731.8,15995.72,991.69,991.69,1500.0,1500.0,15.0,8053.16,2337.32
6,95000.0,270218.57,194329.09,9716.45,13451.83,18461.26,1361.62,1361.62,1500.0,1500.0,15.0,9383.8,3143.51
7,95000.0,297997.03,217924.35,10896.22,15015.59,20702.81,1781.56,1781.56,1500.0,1500.0,15.0,10593.73,4021.48
8,95000.0,323251.75,239375.95,11968.8,16437.28,22740.72,2248.49,1754.64,1500.0,1922.18,15.0,11693.78,4957.44
9,95000.0,346212.03,259089.72,12954.49,17740.36,24613.52,2759.72,1716.13,1500.0,2412.17,15.0,12702.35,5940.24
10,95000.0,367256.79,277232.49,13861.62,18938.41,26337.09,3312.7,1689.98,1500.0,2940.31,15.0,13629.77,6960.09
11,95000.0,386605.32,293959.44,14697.97,20042.22,27926.15,3904.94,1672.16,1500.0,3502.89,15.0,14484.33,8008.39
12,95000.0,404431.88,309413.45,15470.67,21061.35,29394.28,4534.06,1660.16,1500.0,4096.64,15.0,15273.4,9077.68
13,95000.0,420890.78,323723.42,16186.17,22004.37,30753.73,5197.76,1652.29,1500.0,4718.67,15.0,16003.62,10161.49
14,95000.0,436120.53,337005.34,16850.27,22878.99,32015.51,5893.83,1647.41,1500.0,5366.44,15.0,16680.94,11254.19
15,95000.0,450245.72,349363.58,17468.18,23692.16,33189.54,6620.14,1644.7,1500.0,6037.7,15.0,17310.73,12350.95
16,95000.0,463378.44,360892.08,18044.6,24450.13,34284.75,7374.66,1643.57,1500.0,6730.48,15.0,17897.83,13447.64
17,95000.0,475619.59,371675.42,18583.77,25158.51,35309.16,8155.45,1643.57,1500.0,7443.05,15.0,18446.58,14540.72
18,95000.0,487059.98,381789.76,19089.49,25822.38,36270.03,8960.64,1644.38,1500.0,8173.86,15.0,18960.91,15627.19
19,95000.0,497781.37,391303.67,19565.18,26446.28,37173.85,9788.46,1645.75,1500.0,8921.56,15.0,19444.33,16704.52
20,95000.0,507857.4,400278.93,20013.95,27034.33,38026.5,10637.22,1647.49,1500.0,9684.95,15.0,19900.02,17770.62
21,95000.0,517354.4,408771.2,20438.56,27590.22,38833.26,11505.31,1649.44,1500.0,10462.95,15.0,20330.85,18823.75
22,95000.0,526332.11,416830.61,20841.53,28117.3,39598.91,12391.2,1651.48,1500.0,11254.61,15.0,20739.4,19862.51
23,95000.0,534844.36,424502.36,21225.12,28618.55,40327.72,13293.45,1653.54,1500.0,12059.07,15.0,21127.97,20885.77
24,95000.0,542939.66,431827.14,21591.36,29096.7,41023.58,14210.68,1655.54,1500.0,12875.56,15.0,21498.68,21892.66
